cNoSc,Customer,Item,TglProduksiTerakhir,StokAwalPc,StokAwalKg,StokAkhirPc,StokAkhirKg,Keterangan
2505/01199,"SINAR KEMASAN TERANG, PT",OB AIR ACCU 1 LT,2026-07-22,2100,654.759,2100,654.759,
2511/00798,"GUNUNG AGUNG SENTOSA, PT",IB CERMIN OVAL S 014,2026-06-15,400,33.816,400,33.816,
2512/00047,KEMBANG JAYA CV,FAZZA ISI 40 X 220 ML NEW,2026-02-21,1600,308.528,1600,308.528,AMBIL SENDIRI
2601/00538,BUANA MAHAYASA SAKTI CV,BOTT 134 (653 X 365 X 134) TANPA LOGO BMS,2026-05-14,454,113.82827,454,113.82827,TUNGGU JADWAL
2602/00117,MUHAMMAD SYAHRIR,BBC,2026-02-10,2120,758.1544,2120,758.1544,SISA CONTAINER
2602/00226,"HBFULLER ADHESIVES INDONESIA, PT",P123 (355 X 265 X 380 MM),2026-07-20,280,250.4488,280,250.4488,TUNGGU JADWAL
2602/00228,"HBFULLER ADHESIVES INDONESIA, PT",P124 (483 X 288 X 246 MM),2026-06-03,2800,2577.736,2800,2577.736,TUNGGU JADWAL
2602/00978,CENDRAWASIH DWIMEGA KENCANA,AMDK CENDRAQUA 220 ML,2026-02-27,1980,428.076,1980,428.076,SISA CONTAINER
2602/01006,"BERKAH SUMBER ABADI, CV",BOX AMDK BST 220 ML NEW 2,2026-07-18,880,192.5968,880,192.5968,SISA CONTAINER
2603/00552,NIPSEA PAINT AND CHEMICALS. PT,PN114 VINILEX CCM 5KG O/T SW DC,2026-04-26,1040,243.1832,1040,243.1832,
2603/00557,NIPSEA PAINT AND CHEMICALS. PT,"PN106 NIPPON HI EPOXY FILLER BASE 12X0,8L SW",2026-07-06,2300,542.432,2300,542.432,
2603/00609,"MASPION, PT",DOOS LUAR MSC 1860,2026-05-05,150,195.429,150,195.429,TUNGGU JADWAL
2603/00918,"CHAROEN POKPHAND INDONESIA, PT",MC FIESTA RTG NEW ISI 6 BOX,2026-05-21,120,46.8708,120,46.8708,LEBIH PRODUKSI
2604/00148,KEMBANG JAYA CV,FAZZA ISI 45 X 120 ML NEW,2026-05-23,1500,234.795,1500,234.795,AMBIL SENDIRI
2604/00311,BUANA MAHAYASA SAKTI CV,TOP 102,2026-04-22,504,83.19024,504,83.19024,TUNGGU JADWAL
2604/00577,FADLAN,AMDK SEGAR - 48 X 220 ML NEW,2026-04-19,4460,950.426,4460,950.426,SISA CONTAINER
2604/00635,"VPOL TIRTA SEJAHTERA, PT",VPOL 220 ML,2026-07-04,2620,648.8168,2620,648.8168,SISA CONTAINER
2604/00650,"GUNUNG STARLINDO UTAMA, PT",KARTON PH 4 MINI,2026-06-08,150,163.0185,150,163.0185,
2604/00871,"KARUNIA TIRTA KAJUARA, PT",KARTON WT 200 ML,2026-06-30,4020,791.8596,4020,791.8596,SISA CONTAINER
2604/01094,"ENDRIAN RUSLIM,",FROZEN NFE,2026-04-29,460,134.5684,460,134.5684,SISA CONTAINER
2604/01220,"SIANTAR TOP TBK, PT",DUS SPIX MIE GORENG SAMBAL BALADO CBP 500 ISI 100 PCS KTN/SMG-BDR500/L/100/01,2026-07-30,760,127.1708,760,127.1708,KURANG KIRIM
2604/01260,KERAMIK DIAMOND INDUSTRIES,40 X 40 ARTKERAMIK KW 1,2026-07-20,650,74.9645,650,74.9645,
2605/00060,"FRUIT ING INDONESIA, PT",BOX BOTTOM,2026-05-27,197,117.63855,197,117.63855,TIDAK SET
2605/00209,"MULTI NABATI SULAWESI, PT",SOVIA BIB 18 L,2026-07-23,980,648.809,980,648.809,SISA CONTAINER
2605/00255,"MEGASURYA MAS, PT",BOX REFILL MINYAK 1 LTR MSM 2016 - SUNCO POUCH 1 L 04-05-23,2026-07-28,1870,803.8569,1870,803.8569,
2605/00283,GRANDVILLE FOOD INDONESIA,KARDUS KECIL,2026-06-21,240,13.068,240,13.068,BELUM KETEMU
2605/00291,"HBFULLER ADHESIVES INDONESIA, PT",P162 (355 X 265 X 380 MM) KR BCF WITH-ACS-TAPE,2026-07-01,840,677.9052,840,677.9052,TUNGGU JADWAL
2605/00317,PERSEROAN TERBATAS - BADAN HALIMJAYA SAKTI,BOX ANDO HAWAI (AB),2026-05-18,630,314.0298,630,314.0298,TUNGGU JADWAL
2605/00354,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD076) CART 5S THICK TILE RM TS GR 30 X 30 KW I,2026-06-27,550,141.3115,550,141.3115,
2605/00355,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR4SD094) CART 4S RM GRANIT 60 X 30 GRADE A,2026-08-01,0,0.0,12200,1025.41,
2605/00361,"ROMAN CERAMIC INTERNATIONAL, PT",(GCAR5SD141) CART 5S RM TS GR 120 X 60 GRADE A,2026-07-12,375,221.23125,375,221.23125,
2605/00370,NOFITA WAMIR,LIPOKU 220 ML,2026-07-15,8940,1768.6896,8940,1768.6896,TUNGGU JADWAL
2605/00528,PERSEROAN TERBATAS - BADAN HALIMJAYA SAKTI,BOX GEMOY PRIA,2026-07-08,600,623.358,600,623.358,TUNGGU JADWAL
2605/00530,PERSEROAN TERBATAS - BADAN HALIMJAYA SAKTI,BOX ANDO HAWAI,2026-07-16,880,469.2864,880,469.2864,TUNGGU JADWAL
2605/00592,"LOTUS INDAH TEXTILE INDUSTRIES, PT",LAYER LOTUS 545 X 280,2026-06-05,1500,99.0,1500,99.0,TUNGGU JADWAL
2605/00597,"LOTUS INDAH TEXTILE INDUSTRIES, PT",BOX 555 X 365 X 345 NON LOGO,2026-06-06,180,152.5122,180,152.5122,TUNGGU JADWAL
2605/00600,"LOTUS INDAH TEXTILE INDUSTRIES, PT",LAYER LOTUS 550 X 360,2026-05-19,2000,172.82,2000,172.82,TUNGGU JADWAL
2605/00660,"AKE ABADI, CV",KARTON AKE 200 ML (48) MANADO,2026-07-18,4260,979.587,4260,979.587,SISA CONTAINER
2605/00743,"KEMILAU SURYA PLASTINDO, CV",KARTON QUARTER 220 ML,2026-07-06,1240,262.5328,1240,262.5328,SISA CONTAINER
2605/00748,"MISSOURI, CV",BOX DOC RM 726 WARNA BIRU (TOP),2026-05-30,100,18.048,100,18.048,TIDAK SET
2605/00759,MERLYANA SOIK,"LILIN ISI 40 PAK, OB",2026-07-01,750,77.1375,750,77.1375,TUNGGU JADWAL
2605/00766,"CHEIL JEDANG INDONESIA, PT",702659 BOX/MIPOONG 250 GRAM REV.1,2026-06-26,1000,732.78,1000,732.78,TUNGGU JADWAL
2605/00795,"PLATINUM CERAMICS INDUSTRY, PT",NFT14 30X30 AT DC KW-B K,2026-07-31,4800,539.664,4800,539.664,
2605/00800,"SEKAR BUMI TBK, PT",MC. MATERIAL,2026-05-29,110,61.4064,110,61.4064,
2605/00809,BUANA MAHAYASA SAKTI CV,STANDAR BOTTOM 122 (653 X 365 X 122 MM) TANPA LOGO BMS,2026-07-18,3311,824.40168,511,133.24968,TUNGGU JADWAL
2605/00880,"KARYA INDAH MULTIGUNA, PT",735884 DEVIDER BYGN PART 72 X 6,2026-07-31,9600,264.864,0,0.0,
2605/01000,PERSEROAN TERBATAS LESAFFRE SARI NUSA,(400011608) CARTON BOX 500G BRUGEMAN CAN2694,2026-06-11,600,164.268,600,164.268,TUNGGU JADWAL
2605/01009,NIPSEA PAINT AND CHEMICALS. PT,PN044 BOX POLOS SW-6X0.2L,2026-07-15,3000,219.3,3000,219.3,TUNGGU JADWAL
2605/01010,NIPSEA PAINT AND CHEMICALS. PT,PN038 NPI POLOS OT SW (DC)-4X5K,2026-07-11,450,105.237,450,105.237,TUNGGU JADWAL
2605/01011,NIPSEA PAINT AND CHEMICALS. PT,PN100 NPI POLOS PLASTIK SW (DC)-12X1L,2026-07-06,3220,762.013,3220,762.013,
2605/01029,"CHAROEN POKPHAND INDONESIA TBK, PT",MC CP BRAND K200 NEW NKV,2026-07-14,360,227.6532,360,227.6532,KURANG KIRIM
2605/01032,"CHAROEN POKPHAND INDONESIA, PT",MC OKEY SAUSAGE NEW NKV,2026-07-31,5250,2254.245,0,0.0,
2605/01043,"CHAROEN POKPHAND INDONESIA, PT",MC AKUMO 500GR NEW NKV,2026-07-31,5290,2251.0008,0,0.0,
2605/01075,KARYA INDAH MEDIKA,KARTON BED PASIEN 3 CRANK IDM,2026-06-18,99,849.67047,99,849.67047,
2605/01086,ANDRIANI,AMDK LOE 220 ML,2026-07-24,3660,702.537,3660,702.537,SISA CONTAINER
2605/01157,"TAWON JAYA MAKASSAR, PT","TAWON - CC , OB",2026-07-28,2040,1886.6532,2040,1886.6532,SISA CONTAINER
2605/01158,"TAWON JAYA MAKASSAR, PT","TAWON - CC, IB",2026-07-28,4320,375.192,4320,375.192,SISA CONTAINER
2606/00005,MARTHINUS FAMDALE,FROZEN FISH LILIN LUAR 11,2026-07-23,5220,1343.8368,5220,1343.8368,
2606/00034,"SINAR KEMASAN TERANG, PT","IB 5 KG 1 1/2"" X 14 (WT TULIS 5 KG)",2026-06-30,12000,741.6,12000,741.6,TUNGGU JADWAL
2606/00040,"SINAR KEMASAN TERANG, PT","OB 13 KG 2"" X 12 (WT DIKOSONGI)",2026-06-21,520,140.0464,520,140.0464,TUNGGU JADWAL
2606/00074,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK CHICKEN 30 GR KB INTERNATIONAL VIETNAM KTN/CK/E/144/00/VNM,2026-06-30,390,203.6814,390,203.6814,
2606/00075,"SIANTAR TOP TBK, PT",DUS GEMEZ ENAAK CHICKEN SPICY LEVEL 3 MIX DAIN KOREA KTN/GNA MIX/E/24X6/00/KOREA,2026-06-18,140,73.1164,140,73.1164,
2606/00081,"BEHAESTEX, PT",DBL SR AS SUPREM 925 2025,2026-07-09,125,257.365,125,257.365,BELUM KETEMU
2606/00129,"PLATINUM CERAMICS INDUSTRY, PT",NWT16 25X40 AT DC KW-A K,2026-07-24,2400,297.84,2400,297.84,
2606/00135,"ELODA MITRA, PT",5553102023 BOX BUN MINI TRAY,2026-06-26,777,627.00015,777,627.00015,TIDAK SET
2606/00160,"SINAR KEMASAN TERANG, PT",OB AIR ZUUR 1 LT,2026-07-22,1300,405.327,1300,405.327,
2606/00175,NIPSEA PAINT AND CHEMICALS. PT,PN099 MATEX PLASTIK OT SW (DC) 4X4.5 K,2026-07-06,3200,748.256,3200,748.256,
2606/00183,NIPSEA PAINT AND CHEMICALS. PT,"PN107 KOMILEX 4,5KG O/T SW DC",2026-07-14,320,74.8256,320,74.8256,TUNGGU JADWAL
2606/00227,"KAMBERA JAYA ABADI , PT",KARTON BUNAFIT 180 ML SB,2026-06-22,480,115.7328,480,115.7328,TUNGGU JADWAL
2606/00231,"ARISU INDONESIA, PT","HAZEL 50 REV, BOX",2026-06-21,390,190.4487,390,190.4487,TUNGGU JADWAL
2606/00254,"LOTUS INDAH TEXTILE INDUSTRIES, PT",LAYER LOTUS 535 X 350,2026-06-17,1400,113.386,1400,113.386,TUNGGU JADWAL
2606/00259,"CAHAYA BINTANG PLASTINDO,PT",DUS PACK OTC LUXURY 3P PACK A,2026-07-03,1000,1666.64,1000,1666.64,TUNGGU JADWAL
2606/00295,"HOKKAN DELTAPACK INDUSTRI, PT",BOX UK. 530 X 420 X 415 MM,2026-07-31,4500,3498.66,4500,3498.66,
2606/00392,"PLATINUM CERAMICS INDUSTRY, PT",NFT19 40X40 AT DC KW-A K,2026-08-02,6800,926.772,35600,4851.924,
2606/00429,"ETIKA DAIRIES INDONESIA, PT",CARTON BOX DAIRY CHAMP 48 X 480 G NEW HALAL LOGO,2026-07-23,1000,424.95,1000,424.95,TUNGGU JADWAL
2606/00434,"DWIMITRA MEGAH SEJAHTERA, PT",NS HEXA CRACKERS 4000 G (12383-1),2026-07-29,700,177.555,700,177.555,
2606/00437,"DUA KELINCI, PT",(4072663) BOX TIC TAC 80G OPTION 8 VARIAN,2026-07-10,1800,680.76,1800,680.76,TUNGGU JADWAL
2606/00450,EMPAT SEKAWAN MULIA PT.,FILTER (TRY REG) TUMBU TUTUP,2026-06-22,200,51.956,200,51.956,
2606/00529,"SINAR KARYA DUTA ABADI, PT",KARTON BOX UNO EXPORT 30 X 60,2026-08-01,46550,6142.738,0,0.0,
2606/00551,"INTERBAT, PT",(S4029001) CARTON R,2026-07-12,900,97.938,900,97.938,LEBIH PRODUKSI
2606/00562,"KEONG NUSANTARA ABADI, PT",MY JELLY SK 14 GR X 5 CUPS X 60 BAGS,2026-06-19,1480,473.2004,1480,473.2004,TIDAK SET
2606/00621,"SATORIA ANEKA INDUSTRI, PT",KARTON BOX SATORIA PHARMA 500 ML COKLAT (KBXXA03AA25-0002),2026-07-31,22151,10563.8119,1031,491.6839,
2606/00624,"WISMA TIRTA WANGI, CV",AMDK WJ 48 X 220 ML,2026-06-21,2320,483.1632,2320,483.1632,SISA CONTAINER
2606/00625,"SOEJASCH BALI, PT",KARTON BOX DOMINOS (POLOS),2026-07-29,4150,2256.687,4150,2256.687,TUNGGU JADWAL
2606/00651,DINAMIKA MEGATAMA CITRA.PT,BOX DOC PRINT (TUTUP),2026-07-23,2860,516.1728,800,144.384,LEBIH PRODUKSI
2606/00656,"MUTU GADING TEKSTIL, PT",DTY-H LOGO MGT,2026-07-30,600,759.672,600,759.672,
2606/00658,"MUTU GADING TEKSTIL, PT",DTY-HT LOGO MGT,2026-07-30,6600,8540.928,0,0.0,
2606/00679,MIFTAKHUL SALAM,SONGKOK NASIONAL HALUS 10 POTONG,2026-07-01,300,77.496,300,77.496,TUNGGU JADWAL
2606/00686,"HARTONO ISTANA TEKNOLOGI, PT",GA-177550-AJA10 BOTTOM CARTON WM 8KG W30 (M01),2026-07-20,100,18.566,100,18.566,
2606/00745,"MASPION, PT",DOOS LUAR EX 1000 (ISI 12),2026-07-13,255,110.98365,255,110.98365,TUNGGU JADWAL
2606/00746,"MASPION, PT",DOOS LUAR EX 1010 BLACKBERRY (ISI 12),2026-07-28,1598,676.64114,1598,676.64114,
2606/00774,BAMBANG HERMANTO,BODY BOX SSF GOLD,2026-07-09,150,76.9965,150,76.9965,TIDAK SET
2606/00799,BADRI,AMDK ALAS 220 ML,2026-06-26,2000,370.84,2000,370.84,TUNGGU JADWAL
2606/00800,"KARYA REPTIL SENTOSA, PT",BOX TEKEK POLOS,2026-07-30,210,599.7873,210,599.7873,KURANG KIRIM
2606/00810,"SUN POWER CERAMICS, PT",0147 - CARTON COKLAT PORCELAIN LITE SERIES 60 X 60,2026-06-25,90,31.5504,90,31.5504,
