"No","SC No.","No. OP","MC No.","Customer","Nama Barang","Tipe","Ukuran Dalam","Tgl SC","Stock Awal","Stock Akhir","Flute","Kualitas","Warna","Jml Order DT","Last Plan","Netto (kg)","Tgl OP","Tgl Kirim Awal","Tgl Kirim","Flexo","Plan Corr","Hasil Corr","Rusak Corr","Hasil Conv","Jml Serah Trm","Jml Kirim","Retur","Pcs Kurang","Net Kirim","Status","K-1","K-2","K-3","K-4","K-5","Rack/Lokasi","Keterangan"
"1","SLC/2604/00147","","","PURA BARUTAMA, PT","BOX SW UK. 320 X 320 X 200 MM","","320x320x200","2026-04-06 00:00:00.000",".00","0","","K200 / M125 / K200","BLACK 01","","","","","","2026-04-08","",".00",".00",".00",".00",".00",".00","0","1500","0","PROSES","K200","M125","","","K200","-",""
"2","SLC/2604/00146","","","PURA BARUTAMA, PT","BOX I.N.D SQ 33 GR","","420x275x240","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / K125","POLOS","","","","","","2026-04-08","",".00",".00",".00",".00",".00",".00","0","2000","0","PROSES","K125","","","M125","K125","-",""
"3","SLC/2604/00145","","","PURA BARUTAMA, PT","BOX KOBE (A)","","455x350x140","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / K125","POLOS","","","","","","2026-04-08","",".00",".00",".00",".00",".00",".00","0","3000","0","PROSES","K125","","","M125","K125","-",""
"4","SLC/2604/00137","","","PURA BARUTAMA, PT","BOX BEBELAC 620 GR TYPE A2 + 2 LAYER","","580x335x225","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / M125 / M125 / K125","POLOS","","","","","","2026-04-07","",".00",".00",".00",".00",".00",".00","0","1500","0","PROSES","K125","M125","M125","M125","K125","-",""
"5","SLC/2603/01132","","","SIANTAR TOP TBK, PT","DUS TWISTBALL COKLAT ISI 40 PCS KTN/TWB10/L/40/00","","410x200x210","2026-04-06 00:00:00.000",".00","0","","M125 / M125 / M125","YLW 44 - VIOLET 132 - BLUE 137 - BROWN 128","","","","","","2026-04-07","",".00",".00",".00",".00",".00",".00","0","5000","0","PROSES","M125","M125","","","M125","-",""
"6","SLC/2604/00144","SPS/2604/00144-B01","BE28688","KOBE BOGA UTAMA, PT","2100002355 - N2-KARTON KULIT PANGSIT LV 10 27GR","A1","420x310x305","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / M125","YLW 155 - VIOLET 110 - BLACK 01","5000.00","5000.00",".39092","2026-04-06 00:00:00.000","2026-04-11 00:00:00.000","2026-04-11 00:00:00.000","FLEXO 6/7",".00",".00",".00","5000.00",".00",".00","0","5000","0","PROSES","K125","M125","","","M125","-",""
"7","SLC/2604/00143","SPS/2604/00143-B01","BE28688","KOBE BOGA UTAMA, PT","2100002355 - N2-KARTON KULIT PANGSIT LV 10 27GR","A1","420x310x305","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / M125","YLW 155 - VIOLET 110 - BLACK 01","10000.00","10000.00",".39092","2026-04-06 00:00:00.000","2026-04-09 00:00:00.000","2026-04-09 00:00:00.000","FLEXO 6/7",".00",".00",".00","10000.00",".00",".00","0","10000","0","PROSES","K125","M125","","","M125","-",""
"8","SLC/2604/00142","SPS/2604/00142-B01","BE27947","KOBE BOGA UTAMA, PT","2100002226 - N-KARTON MAKARONI LV15 60 X 27 GR_NEW","A1","480x310x250","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / M125","BLUE 454 - BLACK 01","10000.00","10000.00",".38504","2026-04-06 00:00:00.000","2026-04-09 00:00:00.000","2026-04-09 00:00:00.000","FLEXO 6",".00",".00",".00","10000.00",".00",".00","0","10000","0","PROSES","K125","M125","","","M125","-",""
"9","SLC/2604/00140","SPS/2604/00140-B01","0026115","TERA SUKSES ABADI, CV","KARDUS BESAR","A1","370x160x290","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / K125","RED 106 - BLUE 401 (DARK) - BLACK 01","50000.00","50000.00",".21187","2026-04-06 00:00:00.000","2026-04-08 00:00:00.000","2026-04-08 00:00:00.000","FLEXO 4",".00",".00",".00","50000.00",".00",".00","0","50000","0","PROSES","K125","M125","","","K125","-",""
"10","SLC/2604/00139","SPS/2604/00139-B01","BE27945","KOBE BOGA UTAMA, PT","2100002225 - N-KARTON MAKARONI LV10 60 X 27 GR_NEW","A1","480x310x250","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / M125","RED 101 - BLACK 01","10000.00","10000.00",".38504","2026-04-06 00:00:00.000","2026-04-10 00:00:00.000","2026-04-10 00:00:00.000","FLEXO 8",".00",".00",".00","10000.00",".00",".00","0","10000","0","PROSES","K125","M125","","","M125","-",""
"11","SLC/2604/00138","SPS/2604/00138-B01","BE27983","KOBE BOGA UTAMA, PT","2100002223 - N-KARTON MAKARONI LV15 16 X 135 GR_NEW","A1","455x315x165","2026-04-06 00:00:00.000",".00","0","","K125 / M125 / M125","BLUE 454 - BLACK 01","10000.00","10000.00",".32195","2026-04-06 00:00:00.000","2026-04-09 00:00:00.000","2026-04-09 00:00:00.000","FLEXO 4",".00",".00",".00","10000.00",".00",".00","0","10000","0","PROSES","K125","M125","","","M125","-",""
"12","SLC/2604/00134","SPS/2604/00134-B01","BE28174","PLATINUM CERAMICS INDUSTRY, PT","NFT16 40X40 AT DC KW-B L","DC","403x403x53","2026-04-06 00:00:00.000",".00","0","","K150 / M150 / K150","RED 02 - BLACK 01","50000.00","50000.00",".13629","2026-04-06 00:00:00.000","2026-04-12 00:00:00.000","2026-04-12 00:00:00.000","FLEXO 7",".00",".00",".00","50000.00",".00",".00","0","50000","0","PROSES","K150","M150","","","K150","-",""
